Time (µs) - Sample 5 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test1;;Time (µs) - Sample 5 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test2;;Time (µs) - Sample 5 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Intensity (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Intensity (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Intensity (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Number (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Number (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Number (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Volume (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Volume (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Volume (Percent) - Sample 5 [Steady state] test3
2;0,8997;;2;0,8728;;2;0,942;;;;2990;0;;2990;0;;2990;0;;;;2990;0;;2990;0;;2990;0;;;;2990;0;;2990;0;;2990;0
2,1;0,8937;;2,1;0,8669;;2,1;0,9368;;;;3477;0;;3477;0;;3477;0;;;;3477;0;;3477;0;;3477;0;;;;3477;0;;3477;0;;3477;0
2,2;0,8907;;2,2;0,8602;;2,2;0,9325;;;;4043;0;;4043;0;;4043;0;;;;4043;0;;4043;0;;4043;0;;;;4043;0;;4043;0;;4043;0
2,3;0,8861;;2,3;0,8545;;2,3;0,9287;;;;4702;0;;4702;0;;4702;0;;;;4702;0;;4702;0;;4702;0;;;;4702;0;;4702;0;;4702;0
2,4;0,8834;;2,4;0,8503;;2,4;0,9268;;;;5468;0;;5468;0;;5468;0;;;;5468;0;;5468;0;;5468;0;;;;5468;0;;5468;0;;5468;0
2,5;0,8784;;2,5;0,8465;;2,5;0,92;;;;6358;0;;6358;0;;6358;0;;;;6358;0;;6358;0;;6358;0;;;;6358;0;;6358;0;;6358;0
2,6;0,8752;;2,6;0,8444;;2,6;0,9168;;;;7394;0;;7394;0;;7394;0;;;;7394;0;;7394;0;;7394;0;;;;7394;0;;7394;0;;7394;0
2,7;0,8695;;2,7;0,8406;;2,7;0,9117;;;;8599;0;;8599;0;;8599;0;;;;8599;0;;8599;0;;8599;0;;;;8599;0;;8599;0;;8599;0
2,8;0,8627;;2,8;0,836;;2,8;0,909;;;;1,00E+04;0;;1,00E+04;0;;1,00E+04;0;;;;1,00E+04;0;;1,00E+04;0;;1,00E+04;0;;;;1,00E+04;0;;1,00E+04;0;;1,00E+04;0
2,9;0,8581;;2,9;0,8301;;2,9;0,9046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;0,8557;;3;0,8262;;3;0,8994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,1;0,8546;;3,1;0,8222;;3,1;0,8934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,2;0,8505;;3,2;0,8179;;3,2;0,8878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,4;0,8424;;3,4;0,8077;;3,4;0,8798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,6;0,8327;;3,6;0,7989;;3,6;0,8726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,8;0,8248;;3,8;0,79;;3,8;0,8641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0,816;;4;0,7812;;4;0,8569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,2;0,8091;;4,2;0,7744;;4,2;0,8492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,4;0,8023;;4,4;0,7672;;4,4;0,8413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,6;0,7941;;4,6;0,7598;;4,6;0,8335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,8;0,7858;;4,8;0,751;;4,8;0,8258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0,7781;;5;0,745;;5;0,8192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,2;0,7703;;5,2;0,7387;;5,2;0,8125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,4;0,764;;5,4;0,7329;;5,4;0,805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
